Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60,22,27.2,27.2,"Muon[0,1], ParkingVBF[0-7]",83934,0.026211070603092905
HLT_Mu15_IsoVVVL_PFHT450_PFMET50,22,27.2,27.2,"Muon[0,1]",83934,0.026211070603092905
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,22,27.2,27.2,"EGamma[0,1]",83934,0.026211070603092905
HLT_TripleJet110_35_35_Mjj650_PFMET130,22,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,0.026211070603092905
HLT_VBF_DiPFJet90_40_Mjj600_Detajj2p5_Mu3_TrkIsoVVL_TriplePFJet,22,21.0,21.0,ParkingVBF[0-7],83934,0.026211070603092905
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_PNetBB0p06,22,21.0,21.0,"EGamma[0,1]",83934,0.026211070603092905
HLT_HT270_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack,22,27.2,27.2,DisplacedJet,83934,0.026211070603092905
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350,22,27.2,27.2,"EGamma[0,1]",83934,0.026211070603092905
HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay1nsTrackless,20,27.2,27.2,DisplacedJet,83934,0.023828246002811734
HLT_HT200_L1SingleLLPJet_DisplacedDijet60_DisplacedTrack,20,27.2,27.2,DisplacedJet,83934,0.023828246002811734
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_PNetBB0p10,18,21.0,21.0,"EGamma[0,1]",83934,0.02144542140253056
