Trigger_Name,Actual_lumi,Effective_lumi,First_run,Last_run,datasets
HLT_PFJet200_v,27.2,0.079,366403,370790,"JetMET[0,1]"
HLT_PFJet200_TimeLtNeg2p5ns_v,21,0.21,367661,370790,DisplacedJet
HLT_PFJet200_TimeGt2p5ns_v,21,21,367661,370790,DisplacedJet
HLT_PFJet140_v,27.2,0.02,366403,370790,"JetMET[0,1]"
HLT_PFJet110_v,27.2,0.0065,366403,370790,"JetMET[0,1]"
HLT_PFHT890_v,27.2,1.7,366403,370790,"JetMET[0,1]"
HLT_PFHT800_PFMET75_PFMHT75_IDTight_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFHT780_v,27.2,0.85,366403,370790,"JetMET[0,1]"
HLT_PFHT700_PFMET85_PFMHT85_IDTight_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFHT680_v,27.2,0.42,366403,370790,"JetMET[0,1]"
HLT_PFHT590_v,27.2,0.21,366403,370790,"JetMET[0,1]"
HLT_PFHT510_v,27.2,0.11,366403,370790,"JetMET[0,1]"
HLT_PFHT500_PFMET110_PFMHT110_IDTight_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFHT500_PFMET100_PFMHT100_IDTight_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFHT450_SixPFJet36_v,27.2,1.1,366403,370790,"JetMET[0,1], ParkingHH"
HLT_PFHT450_SixPFJet36_PNetBTag0p35_v,9.5,9.5,369869,370790,ParkingHH
HLT_PFHT450_SixPFJet36_PFBTagDeepJet_1p59_v,17.6,17.6,366403,368823,"JetMET[0,1], ParkingHH"
HLT_PFHT430_v,27.2,0.054,366403,370790,"JetMET[0,1]"
HLT_PFHT400_SixPFJet32_v,27.2,0.42,366403,370790,"JetMET[0,1], ParkingHH"
HLT_PFHT400_SixPFJet32_PNet2BTagMean0p50_v,9.5,9.5,369869,370790,ParkingHH
HLT_PFHT400_SixPFJet32_DoublePFBTagDeepJet_2p94_v,17.6,17.6,366403,368823,"JetMET[0,1], ParkingHH"
HLT_PFHT400_FivePFJet_120_120_60_30_30_DoublePFBTagDeepJet_4p5_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingHH"
HLT_PFHT400_FivePFJet_100_100_60_30_30_v,27.2,0.68,366403,370790,"JetMET[0,1], ParkingHH"
HLT_PFHT400_FivePFJet_100_100_60_30_30_DoublePFBTagDeepJet_4p5_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingHH"
HLT_PFHT370_v,27.2,0.017,366403,370790,"JetMET[0,1]"
HLT_PFHT350_v,27.2,0.11,366403,370790,"JetMET[0,1]"
HLT_PFHT340_QuadPFJet70_50_40_40_PNet2BTagMean0p70_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingHH"
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_v,27.2,0.21,366403,370790,"JetMET[0,1], ParkingHH"
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_TriplePFBTagDeepJet_4p5_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingHH"
HLT_PFHT280_QuadPFJet35_PNet2BTagMean0p60_v,21,21,367661,370790,ParkingHH
HLT_PFHT280_QuadPFJet30_v,21,0.21,367661,370790,ParkingHH
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p60_v,21,21,367661,370790,ParkingHH
