Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_HT240_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,69,27.2,27.2,DisplacedJet,54677,0.12619565813779102
HLT_DoubleEle6_eta1p22_mMax6,69,15.3,15.3,ParkingDoubleElectronLowMass,54677,0.12619565813779102
HLT_PFJet550,68,27.2,27.2,"JetMET[0,1]",54677,0.12436673555608391
HLT_AK8DiPFJet250_250_MassSD50,68,27.2,27.2,"JetMET[0,1]",54677,0.12436673555608391
HLT_PFHT1050,66,27.2,27.2,"JetMET[0,1]",54677,0.12070889039266967
HLT_Ele38_WPTight_Gsf,66,27.2,27.2,"EGamma[0,1]",54677,0.12070889039266967
HLT_Ele28_eta2p1_WPTight_Gsf_HT150,65,27.2,27.2,"EGamma[0,1]",54677,0.11887996781096256
HLT_Ele40_WPTight_Gsf,63,27.2,27.2,"EGamma[0,1]",54677,0.11522212264754833
HLT_DoubleEle4_eta1p22_mMax6_dz0p8,63,5.0,5.0,ParkingDoubleElectronLowMass,54677,0.11522212264754833
HLT_AK8DiPFJet260_260_MassSD50,61,27.2,27.2,"JetMET[0,1]",54677,0.1115642774841341
HLT_Mu4_TrkIsoVVL_DiPFJet90_40_DEta3p5_MJJ750_HTT300_PFMETNoMu60,61,27.2,27.2,"Muon[0,1], ParkingVBF[0-7]",54677,0.1115642774841341
HLT_DoubleEle5p5_eta1p22_mMax6_trkHits10,60,11.9,11.9,ParkingDoubleElectronLowMass,54677,0.10973535490242697
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_Ele12_eta2p1_WPTight_Gsf,59,11.5,11.5,ParkingVBF[0-7],54677,0.10790643232071986
HLT_AK8DiPFJet280_280_MassSD30,59,27.2,27.2,"JetMET[0,1]",54677,0.10790643232071986
HLT_DoubleEle4p5_eta1p22_mMax6_dz0p8,57,8.6,8.6,ParkingDoubleElectronLowMass,54677,0.10424858715730563
HLT_Ele135_CaloIdVT_GsfTrkIdT,57,27.2,27.2,"EGamma[0,1]",54677,0.10424858715730563
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu100_PFMHTNoMu100_IDTight,56,27.2,27.2,"Muon[0,1]",54677,0.10241966457559852
HLT_PFHT400_SixPFJet32_DoublePFBTagDeepJet_2p94,54,17.6,17.6,"JetMET[0,1], ParkingHH",54677,0.09876181941218429
HLT_HT430_DelayedJet40_DoubleDelay0p5nsTrackless,53,27.2,27.2,DisplacedJet,54677,0.09693289683047716
HLT_Mu3er1p5_PFJet100er2p5_PFMET100_PFMHT100_IDTight,53,27.2,27.2,"Muon[0,1]",54677,0.09693289683047716
HLT_HT280_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,52,27.2,27.2,DisplacedJet,54677,0.09510397424877005
HLT_PFMET250_NotCleaned,51,27.2,27.2,"JetMET[0,1]",54677,0.09327505166706293
HLT_PFHT450_SixPFJet36_PNetBTag0p35,51,9.5,9.5,ParkingHH,54677,0.09327505166706293
HLT_Ele15_IsoVVVL_PFHT450,51,27.2,27.2,"EGamma[0,1]",54677,0.09327505166706293
HLT_HT350_DelayedJet40_SingleDelay1p75To3p5nsInclusive,49,9.5,9.5,ParkingLLP,54677,0.0896172065036487
HLT_PFHT450_SixPFJet36_PFBTagDeepJet_1p59,49,17.6,17.6,"JetMET[0,1], ParkingHH",54677,0.0896172065036487
HLT_AK8DiPFJet290_290_MassSD30,49,27.2,27.2,"JetMET[0,1]",54677,0.0896172065036487
HLT_DoubleEle5_eta1p22_mMax6_dz0p8,48,16.6,16.6,ParkingDoubleElectronLowMass,54677,0.08778828392194159
HLT_DoubleEle6_eta1p22_mMax6_trkHits10,48,13.2,13.2,ParkingDoubleElectronLowMass,54677,0.08778828392194159
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_Ele17_eta2p1_WPTight_Gsf,47,9.5,9.5,ParkingVBF[0-7],54677,0.08595936134023446
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p50,46,21.0,21.0,"JetMET[0,1]",54677,0.08413043875852735
HLT_HT320_L1SingleLLPJet_DisplacedDijet60_Inclusive,45,27.2,27.2,DisplacedJet,54677,0.08230151617682023
HLT_HT430_DelayedJet40_SingleDelay1p25nsTrackless,45,9.5,9.5,DisplacedJet,54677,0.08230151617682023
HLT_PFHT340_QuadPFJet70_50_40_40_PNet2BTagMean0p70,43,27.2,27.2,"JetMET[0,1], ParkingHH",54677,0.078643671013406
HLT_Ele28_HighEta_SC20_Mass55,42,27.2,27.2,"EGamma[0,1]",54677,0.07681474843169889
HLT_DoubleEle5p5_eta1p22_mMax6_dz0p8,40,17.9,17.9,ParkingDoubleElectronLowMass,54677,0.07315690326828465
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,40,27.2,27.2,"EGamma[0,1]",54677,0.07315690326828465
HLT_DoubleEle25_CaloIdL_MW,40,27.2,27.2,"EGamma[0,1]",54677,0.07315690326828465
HLT_VBF_DiPFJet50_Mjj500_Detajj2p5_Ele22_eta2p1_WPTight_Gsf,36,9.5,9.5,ParkingVBF[0-7],54677,0.06584121294145619
HLT_TripleJet110_35_35_Mjj650_PFMET110,34,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",54677,0.062183367778041954
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p53,34,21.0,21.0,"JetMET[0,1]",54677,0.062183367778041954
